50	50	1
9	9	1
11	11	0.0886524822695035
30	30	1
31	31	0.01
27	27	0.520833333333333
28	28	1
18	18	0.78125
0	0	1
6	6	1
13	13	1
12	12	1
16	16	1
15	15	1
19	19	1
45	45	1
52	52	0.01
51	51	1
9	8	1
11	10	0.0886524822695035
31	30	0.186567164179104
70	71	0.01
30	31	1
27	26	0.520833333333333
28	29	1
18	19	0.78125
1	0	1
0	1	1
6	7	1
13	12	1
12	13	1
16	17	1
15	14	1
19	18	1
45	44	1
50	51	1
49	48	1
52	53	0.01
51	50	1
9	11	1
11	9	0.01
30	28	1
31	29	0.01
27	25	0.520833333333333
28	30	1
18	16	0.78125
1	3	1
0	2	1
6	4	1
13	15	0.265957446808511
12	14	1
16	18	0.26525198938992
15	13	1
19	17	1
45	47	1
48	50	1
52	54	0.01
51	49	1
9	10	1
16	19	0.350877192982456
11	8	0.133333333333333
30	29	1
31	28	0.01
27	24	0.520833333333333
28	31	1
18	17	0.78125
1	2	1
0	3	1
7	4	1
6	5	1
13	14	0.26525198938992
12	15	1
15	12	1
19	16	1
36	39	1
45	46	1
49	50	1
48	51	1
52	55	0.01
51	48	1
9	13	1
10	14	1
11	15	1
69	65	1
30	26	1
31	27	0.01
27	31	1
28	24	1
1	5	1
0	4	1
7	3	1
6	2	1
13	9	1
12	8	1
16	20	1
15	11	1
36	32	1
45	41	1
50	54	1
48	52	1
52	48	0.01
51	55	1
52	49	0.01
9	12	1
10	15	0.155763239875389
11	14	0.01
31	26	0.186219739292365
69	64	1
30	27	1
27	30	1
28	25	1
1	4	1
0	5	1
7	2	1
6	3	1
13	8	1
12	9	1
16	21	0.0664893617021277
15	10	1
36	33	1
45	40	1
50	55	1
49	52	1
48	53	1
51	54	1
52	50	0.0162786911932281
9	15	1
11	13	0.156494522691706
30	24	1
31	25	0.191570881226054
27	29	0.520833333333333
28	26	1
0	6	1
7	1	1
6	0	1
12	10	1
16	22	0.132978723404255
15	9	1
36	34	1
45	43	1
51	53	1
11	12	1
9	14	1
30	25	1
31	24	0.191570881226054
27	28	0.520833333333333
28	27	1
1	6	1
0	7	1
7	0	1
6	1	1
13	10	1
12	11	1
16	23	0.01
15	8	1
19	20	1
36	35	1
45	42	1
50	53	1
49	54	1
52	51	0.01
51	52	1
9	1	1
10	2	0.0666666666666667
30	22	1
31	23	0.191570881226054
27	19	0.520833333333333
24	16	1
18	26	1
0	8	1
8	0	1
6	14	1
13	5	1
12	4	1
16	24	0.01
15	7	1
45	37	1
52	60	0.0102030405060708
51	59	1
9	0	1
10	3	0.01
30	23	1
31	22	0.189393939393939
27	18	0.520833333333333
24	17	1
25	16	1
18	27	1
0	9	1
6	15	1
13	4	1
12	5	1
16	25	0.01
15	6	1
45	36	1
49	56	1
52	61	0.01
51	58	1
9	3	1
10	0	1
30	20	1
31	21	1
27	17	0.520833333333333
24	18	1
1	11	1
0	10	1
6	12	1
13	7	1
12	6	1
16	26	0.01
15	5	1
45	39	1
50	56	1
49	59	1
48	58	1
52	62	0.01
51	57	1
9	2	1
10	1	0.132802124833997
11	0	0.133333333333333
30	21	1
31	20	1
27	16	0.520833333333333
24	19	1
0	11	1
6	13	1
13	6	1
12	7	1
16	27	0.01
15	4	1
45	38	1
49	58	1
48	59	1
52	63	0.01
51	56	1
9	5	1
10	6	1
70	74	0.01
30	18	1
31	19	0.168067226890756
27	23	1
28	16	1
18	30	1
0	12	1
6	10	1
11	7	0.01
13	1	1
12	0	1
16	28	0.0886524822695035
15	3	1
36	40	1
45	33	1
50	62	1
49	61	1
48	60	1
52	56	0.01
51	63	1
9	4	1
52	57	0.130378096479791
70	75	0.01
30	19	1
31	18	1
27	22	1
28	17	1
18	31	1
1	12	1
0	13	1
6	11	1
11	6	0.156494522691706
13	0	1
12	1	1
16	29	0.01
15	2	1
36	41	1
45	32	1
50	63	1
48	61	1
51	62	1
9	7	1
10	4	0.01
11	5	0.01
1	15	1
70	72	0.01
30	16	1
31	17	0.161812297734628
27	21	1
28	18	1
18	28	1
0	14	1
6	8	1
14	0	1
13	3	1
12	2	1
16	30	0.01
15	1	1
36	42	1
45	35	1
50	60	1
52	58	0.01
51	61	1
9	6	1
11	4	0.156494522691706
10	5	1
70	73	0.01
30	17	1
31	16	1
27	20	1
28	19	1
18	29	1
1	14	1
0	15	1
6	9	1
14	1	0.265957446808511
13	2	1
12	3	1
16	31	0.01
15	0	1
46	33	1
45	34	1
49	62	1
52	59	0.01
51	60	1
50	34	1
9	25	0.133333333333333
1	17	1
70	86	0.0886524822695035
30	14	1
31	15	1
27	11	1
28	12	1
24	8	1
25	9	1
21	5	1
0	16	1
10	26	0.01
12	28	1
17	1	1
16	0	1
15	31	1
20	4	1
19	3	1
18	2	1
52	36	0.0100441944556047
51	35	1
17	0	1
9	24	0.133333333333333
1	16	1
70	87	0.01
30	15	1
31	14	0.980392156862745
27	10	1
28	13	1
24	9	1
25	8	1
21	4	1
0	17	1
10	27	0.01
12	29	1
16	1	1
15	30	1
20	5	1
19	2	1
18	3	1
49	32	1
52	37	0.010501995379122
51	34	1
9	27	0.133333333333333
70	84	0.0443262411347518
30	12	1
31	13	1
27	9	1
28	14	0.284090909090909
24	10	1
25	11	1
21	7	1
22	4	1
23	5	1
1	19	1
0	18	1
10	24	0.01
12	30	1
17	3	0.01
16	2	1
15	29	1
19	1	1
18	0	1
48	34	1
51	33	1
9	26	0.133333333333333
70	85	0.0443262411347518
30	13	1
31	12	1
27	8	1
28	15	1
24	11	1
25	10	1
21	6	1
23	4	1
1	18	1
0	19	1
10	25	0.01
12	31	1
17	2	0.0886524822695035
16	3	1
15	28	1
19	0	1
18	1	1
49	34	1
48	35	1
52	39	0.01
51	32	1
9	29	0.133333333333333
30	10	1
31	11	1
28	8	0.520833333333333
24	12	1
25	13	1
21	1	1
22	2	1
23	3	1
18	6	1
0	20	1
6	18	1
10	30	0.0189933523266857
12	24	1
17	5	1
16	4	1
15	27	1
20	0	1
19	7	0.78125
48	36	1
52	32	0.01
51	39	1
9	28	0.133333333333333
70	83	0.0443262411347518
30	11	1
31	10	1
28	9	1
24	13	1
25	12	1
21	0	1
22	3	1
23	2	1
18	7	0.78125
2	23	1
1	20	1
0	21	1
10	31	0.01
12	25	1
17	4	1
16	5	1
