50	50	2
9	9	3
11	11	1128
30	30	6
31	31	2182460
27	27	192
28	28	1
18	18	128
0	0	2
6	6	64
13	13	2
12	12	1
16	16	1
15	15	1
19	19	1
45	45	2
52	52	376000
51	51	6
9	8	1
11	10	1128
31	30	536
70	71	189878
30	31	6
27	26	192
28	29	1
18	19	128
1	0	2
0	1	2
6	7	64
13	12	1
12	13	4
16	17	1
15	14	1
19	18	17
45	44	3
50	51	1
49	48	1
52	53	282000
51	50	6
9	11	3
11	9	188000
30	28	6
31	29	2182460
27	25	192
28	30	4
18	16	128
1	3	4
0	2	2
6	4	36
13	15	376
12	14	4
16	18	377
15	13	1
19	17	1
45	47	2
48	50	1
52	54	31256
51	49	6
9	10	3
16	19	285
11	8	750
30	29	6
31	28	7367097
27	24	192
28	31	3
18	17	128
1	2	4
0	3	2
7	4	4
6	5	64
13	14	377
12	15	4
15	12	1
19	16	1
36	39	1
45	46	2
49	50	1
48	51	1
52	55	31256
51	48	6
9	13	3
10	14	4
11	15	1
69	65	7
30	26	3
31	27	5184637
27	31	3
28	24	1
1	5	2
0	4	2
7	3	62
6	2	36
13	9	1
12	8	4
16	20	1
15	11	1
36	32	1
45	41	3
50	54	31
48	52	1
52	48	94000
51	55	6
52	49	24576
9	12	3
10	15	642
11	14	181476
31	26	537
69	64	7
30	27	3
27	30	3
28	25	1
1	4	2
0	5	2
7	2	62
6	3	36
13	8	4
12	9	4
16	21	1504
15	10	1
36	33	1
45	40	3
50	55	1
49	52	1
48	53	1
51	54	6
52	50	6143
9	15	3
11	13	639
30	24	3
31	25	522
27	29	192
28	26	4
0	6	2
7	1	62
6	0	36
12	10	1
16	22	752
15	9	4
36	34	1
45	43	3
51	53	6
11	12	3
9	14	3
30	25	3
31	24	522
27	28	192
28	27	1
1	6	2
0	7	2
7	0	64
6	1	36
13	10	1
12	11	1
16	23	94376
15	8	4
19	20	3
36	35	1
45	42	3
50	53	1
49	54	4
52	51	94000
51	52	6
9	1	1
10	2	1500
30	22	3
31	23	522
27	19	192
24	16	3
18	26	1
0	8	2
8	0	62
6	14	62
13	5	4
12	4	1
16	24	376000
15	7	4
45	37	3
52	60	9801
51	59	6
9	0	1
10	3	94750
30	23	3
31	22	528
27	18	192
24	17	3
25	16	4
18	27	1
0	9	2
6	15	62
13	4	5
12	5	1
16	25	282000
15	6	4
45	36	3
49	56	4
52	61	262469
51	58	6
9	3	1
10	0	4
30	20	3
31	21	6
27	17	192
24	18	3
1	11	2
0	10	2
6	12	62
13	7	4
12	6	1
16	26	564000
15	5	3
45	39	3
50	56	1
49	59	4
48	58	1
52	62	282000
51	57	6
9	2	1
10	1	753
11	0	750
30	21	3
31	20	73
